S.No,Title,Date,Time,Venue,Room/Hall,Speakers,Description,Knowledge Partners
296,Workforce Readiness for Artificial Intelligence in Primary Health Care,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 17,"Dr Mona Duggal, ICMR; Dr Monika Kochar, Health, DAKSHIN, RIS; Dr Ranjana Kumar, Nashik; Dr Smisha Agarwal, Center for Global Digital Health Innovation, Johns Hopkins University; Dr Titipol Phakdeewanich, Regional Center for Human Rights, Faculty of Political Science, Ubon Ratchathani University, Thailand; Professor Anurag Agrawal, Biosciences and Health Research, Ashoka University; Professor Fuad, Embassy of the Republic of Indonesia, New Delhi","Digital health innovations and AI are reshaping triage, diagnosis, and population health management, but their impact on primary health care depends on whether frontline workers across cadres can adopt these tools safely, ethically, and effectively. This panel brings together senior experts from government, academia, industry, and think tanks to define AI readiness for primary health care and translate it into role-based competency pathways and practical implementation levers.",Center for Global Digital Health Innovation
297,Closing the Loop: Building Global AI Incident Monitoring and Response Capabilities at the India AI Impact Summit,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 16,"Akiko Murakami, Japanese AI Safety Institute; Caio Vieira Machado, Berkman Klein Center at Harvard University; Elham Tabassi, Senior Fellow at Brookings Institution; Former Chief AI Advisor at US NIST; Hugo Valadares, Department of Science, Technology, and Digital Innovation (DECTI) of the Brazilian Ministry of Science, Technology and Innovation; Marko Grobelnik, Digital Champion of Slovenia at the European Commission; Niki Iliadis, Global AI Governance at The Future Society","AI incidents are emerging as early warning signals of systemic, cross-border risk - but the global infrastructure to 
capture and learn from them remains fragmented. This session brings together policymakers, and 
technical experts to explore how interoperable AI incident reporting and monitoring can strengthen prevention, early 
warning, and coordinated response. Participants will discuss institutional designs —from shared taxonomies to secure 
data-sharing—that can turn incident data into actionable governance, standards, and risk-management insights.... Read More",The Future Society Inc
298,Use of AI for Disaster Resilient Infrastructure,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room No. 6,"Dr. Manabendra Saharia, IIT Delhi; Dr. Pradeep Thapliyal, Space Application Centre, ISRO; Dr. Srikanta K Panigrah, Indian Institute of Sustainable Development (IISD); Mr. Anshu Sharma, SEEDS; Ms Ranjini Mukherjee, CDRI; Ms. Elizabeth Atwell, BHC; Ms. Rita Missal, NDMA; Ms. Samhita R, Resilience AI; Priyanka Das Rajkakati, VortexIo","The session will advance a policy focused understanding of the role of artificial intelligence in strengthening the resilience of critical infrastructure systems with emphasis on capacities to absorb disruptions, respond effectively, and recover sustainably. It will present sectoral evidence on AI-enabled resilience in transport, power and water systems, identify governance, standards and institutional capacity requirements and assess technology options and trade-offs for adoption in low-resource and climate-vulnerable contexts.",Coalition for Disaster Resilient Infrastructure (CDRI)
299,AI for Manufacturing Engineering and Technology: Powering India's MET Ecosystem,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 10,"Dr Eric Grimson, Massachusetts Institute of Technology; Dr Krishnan Balasubramanian, IIT Madras; Dr. Ibrahim Hafeezur Rehman, NAMTECH; Dr. Vivek Mohindra, Dell Technologies; Sanjay Sharma, Arcelor Mittal China & SEA; Venu Nuguri, Hitachi India","Building on the 2025 MET Roundtable, the 2026 session at the India AI Impact Summit will mark the launch of the AI for MET initiative and its Expert Council. This convening will bring together stakeholders to release a policy white paper outlining approaches to intelligent and sustainable manufacturing. The discussion will focus on pathways for strengthening manufacturing capabilities through AI-enabled innovation and adoption.",NAMTECH
300,Beyond Earth: How AI is Powering the Next Era of Space Exploration,18 Feb 2026,10:30 AM - 11:30 AM,Sushma Swaraj Bhavan,Nalanda Banquet,"Dr Dipti Patil, MKSSS Cummins College of Engineering for Women, Pune; Dr Jagriti Dabas, ARMS 4 AI; Dr. Vinod Kumar, Indian National Space Promotion and Authorisation Centre (IN-SPACe); Mr Nitish Kumar, URSC, ISRO; Mr R. Durairaj, IISU, ISRO; Mr Vinay Simha, Hyspace (SkyServe); Ms Ishita Ganjoo, URSC, ISRO","AI is emerging as a transformative force across the space sector, enabling greater autonomy, efficiency, scalability, and value creation across satellite design and operations, data processing, and downstream applications. It aims to deliberate on high-impact AI use cases across the space value chain, assess their technological and commercial implications, and identify opportunities for collaboration among  startups, academia, and research institutions. The session will provide a platform to exchange insights on innovation, data and infrastructure needs.... Read More",IN-SPACe
301,Building Sovereign Deep Tech for a Resilient Future,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 18,"Antti Vasara, Foreign Ministry of Finland; Atte Jääskeläinen, Finnish Innovation Fund Sitra; Kimmo Lähdevirta, Finland to India; Mari Walls, Research Organization Collaboration and Academic Partnerships, CSC IT Centre for Science; Pasi Toivanen, Nokia; Petteri Orpo, Finland; Sethu Saveda Suvanam, Reorbit","This panel discussion explores pioneering deep tech solutions emerging from innovators. Through examples presented by industry leaders, the panelists discuss how AI integrated solutions can enhance competitiveness, security, and societal resilience. The discussion further explores how research and innovative public-private partnerships can strengthen strategic autonomy and create globally competitive AI ecosystems.",Embassy of Finland
302,Building Resilience and breaking dependency in enterprise and public sector AI - how can open source support this?,18 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 15,"Amanda Brock, OpenUK; Anastasia Stasenko, Pleias; Jimmy Wales, Wikipedia; Laura Gilbert, Tony Blair Institute; Mishi Choudary, Software Freedom Law Centre",Panel examines how open source AI can reduce vendor lock-in and strengthen autonomy in enterprise and public sector deployments.,OpenUK
303,Practical Pathways for Operationalizing Safe & Trusted AIOfficial,18 Feb 2026,10:55 AM - 11:25 AM,Bharat Mandapam,L2 Summit Room,"Dr. Balraman Ravindran, Chair; Japan, Co-Chair; Brazil, Co-Chair",This session discusses practical mechanisms for advancing Safe & Trusted AI within the broader context of the work of this working group,
304,From Scale to Sustainability: Advancing Resilient & Efficient AIOfficial,18 Feb 2026,11:25 AM - 12:00 PM,Bharat Mandapam,L2 Summit Room,"Shri. Pankaj Aggarwal, Chair; France, Co-Chair","This session discusses approaches towards building resource-conscious and efficient AI systems. It will mark the formal launch of the ‘Advancing Resilient AI Infrastructure’ Playbook, supported by Dalberg and the Resilient AI Challenge, supported by UNESCO.",
305,"Opportunities in the Steel Sector: An interaction with Secretary, Ministry of Steel",18 Feb 2026,11:30 AM - 1:00 PM,Bharat Mandapam - Expo Area,Hall No. 5 First Floor - Session Hall 1,,"This session, Opportunities in the Steel Sector, features an interactive discussion with the Secretary of the Ministry of Steel. It explores emerging trends, investment prospects, and policy initiatives shaping India's steel industry. Participants will gain insights into strategic opportunities across production, technology adoption, sustainability, and infrastructure development. The session also addresses challenges, government support mechanisms, and pathways for innovation, providing stakeholders with a comprehensive understanding of how to navigate and capitalize on growth in the steel sector.... Read More",Ministry of Steel
306,The 2026 Scaling Playbook: Building Anti-Fragile AI Startups (Hosted by Google),18 Feb 2026,11:30 AM - 12:00 PM,Bharat Mandapam - Expo Area,Hall No. 5 First Floor - Session Hall 2,"Sh. Paige Bailey, Engineering Lead for GenAI Developer Experience at Google; Sh. Manik Pasricha; Dr. Panneerselvam Madanagopal, CEO, MeitY Startup Hub (MSH), Ministry of Electronics and IT; Sh. Madhav Bhagat, Co-Founder and CTO of SpotDraft; Sh. Farish CV","As foundational models mature into a standardized ""utility,"" the 2026 startup battleground has shifted from raw compute to operational ingenuity. This session explores how the next generation of founders is leveraging agentic autonomy to build ""lean giants""—highly resilient companies that maintain minimal headcount while achieving massive, industrial-scale output.",Google
307,"NeevCloud AI SuperCloud: Democratizing High-Performance AI Infrastructure for India's Innovation, Research & Growth (Hosted by Neev Cloud)",18 Feb 2026,11:30 AM - 12:00 PM,Bharat Mandapam - Expo Area,Hall No. 4 First Floor - Session Hall 3,,"This session, Opportunities in the Steel Sector, features an interactive discussion with the Secretary of the Ministry of Steel. It explores emerging trends, investment prospects, and policy initiatives shaping India's steel industry. Participants will gain insights into strategic opportunities across production, technology adoption, sustainability, and infrastructure development. The session also addresses challenges, government support mechanisms, and pathways for innovation, providing stakeholders with a comprehensive understanding of how to navigate and capitalize on growth in the steel sector.... Read More",Neev Cloud
308,Trust in AI: Navigating Ethics and Policy (Rooman Technologies),18 Feb 2026,11:30 AM - 12:00 PM,Bharat Mandapam - Expo Area,Hall No. 3 First Floor - Session Hall 4,,"As AI underpins public services, infrastructure, and global commerce, building trustworthy systems is essential. This panel unites leaders across government, technology, and industry to explore frameworks that strengthen trust, accountability, and security. It examines shifting from aspirational ethics to enforceable governance standards, compares global regulatory models such as the EU AI Act and Global South approaches, promotes democratic oversight in policymaking, and advances international coordination to address risks like deepfakes, misinformation, and bias.... Read More",Rooman Technologies
309,Fintech for All: Democratizing Financial Access Through AI and Human Capital Development,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 6,"Anjani Rathor, HDFC; Kamya Chandra (Moderator), CDPI; Lipika Kapoor, NABU Sciences; Sohoni Rajola, Growth NPCI International; Yogesh Agarwal, Nvidia","This session explores how AI infrastructure drives equitable growth across fintech ecosystems in India and the Global South. Panelists examine how scalable platforms enable multilingual interfaces and risk models serving diverse populations. The discussion covers GPU-accelerated computing powering real-time fraud detection and personalized banking for underserved communities. Examples demonstrate how democratizing compute access and workforce skilling create economic opportunities and financial inclusion, operationalizing the People and Progress Sutras through the Inclusion for Social Empowerment Chakra.... Read More",NVIDIA
310,Empowering AI Startups: Democratizing Compute for Economic Growth,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 19,"Arun Kumar, Celesta Capital; Poorvi Vijay, Elevation Capital; Schwark Satyavolu, Nenu AI; Tobias Halloran, Nvidia","This session explores how accessible high-performance infrastructure accelerates startups in India and emerging markets via scaled infrastructure, compute credits and frameworks, fostering self-reliant AI innovation, which then accelerates venture capital into all stages of startup ecosystems. GPU analytics and low-latency inference enable integration with digital infrastructure such as UPI and ONDC. This operationalizes the People and Progress Sutras through the Democratizing AI Resources Chakra.",NVIDIA
311,Advancing LLM Training At Extreme Scale,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 9,"Bernard Nguyen, Nvidia","Discover how NVIDIA NeMo Framework accelerates sovereign AI model development with unmatched efficiency at scale. Part of NVIDIA's open AI strategy, NeMo empowers organizations to train/refine models across stages—pre-training, fine-tuning, RL post-training—scaling from Hopper nodes to Blackwell racks. This session showcases creating frontier models from scratch or adapting open models like Nemotron, with real-world customer stories demonstrating end-to-end AI infrastructure impact.",NVIDIA
312,From Opportunity to Impact: Sharing the Israeli Model of AI Innovation and Governance,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 10,"Brigadier General (Res.) Erez Naftali Askal, Israel Artificial Intelligence Directorate; Dr. Victor Alchanatis, DSc., Volcani Institute, Ministry of Agriculture; Dr. Victor Israel Gosalker, Horizon Line Division; Dr. Victor Israel Gosalker, Horizon Line Division; H.E. Reuven Azar, Ministry of Foreign Affairs, Israel; Mr. Avner Vilan, AI21; Ms. Inbal Mashash, Israel Employment Service; Ms. Meirav Zerbib, Ministry of Education, Innovation and Technology Administration","This event will showcase Israel's national AI model — prioritizing innovation, research, and agile governance over restrictive regulation—to drive social, economic, and public-service transformation. It highlights Israel's strengths (innovation hub, elite technical talent, collaborative public-private partnerships). The session features short talks on national strategy, AI in agriculture, personalized education, future of work, and industry leadership, aiming to share best practices and forge international partnerships.","Ministry of Foreign Affairs and the Ministry of Innovation, Science and Technology"
313,"Best practices from the International Network for Advanced AI Measurement, Evaluation and Science.",18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 18,"Adam Beaumont, UK AISI; Austin Mayron, US CAISI; Chris Meserole, Frontier Model Forum; Sara Hooker, Adaption Labs; Wan Sie Lee, Singapore AISI","This panel discusses best practices from the International Network for Advanced AI Measurement, Evaluation and Science, focusing on shared learnings, evaluation challenges, and how governments and industry can collaborate and share knowledge globally.",UK AI Security Institute
314,Trusted AI: Practical Pathways for the Public Sector,18 Feb 2026,11:30 AM - 12:30 PM,Sushma Swaraj Bhavan,Nalanda Banquet,"Anusha Dandapani, United Nations International Computing Centre (UNICC); Katharina Frey, United Nations International Computing Centre (UNICC); Robyn Scott, UNICC; Sameer Chauhan, United Nations International Computing Centre (UNICC)","Anchored in the 'Safe and Trusted AI' guiding principle of the India AI Impact Summit 2026, this moderated dialogue will explore how public-sector organizations can move from principles to practice by operationalizing assurance by design. The session will focus on practical, scalable approaches to pre-deployment assurance, human accountability, organizational readiness, and post-deployment oversight that enable responsible AI adoption at scale.",United Nations International Computing Centre (UNICC)
315,"AI & Global Diplomacy: Power, Partnerships, and the Future of Science",18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 16,"Alan John Kwadwo Kyerematen, Previous Minister of Ghana; Amb Hugo Ortiz Dubon, El Salvador to the EU, Belgium and Luxembourg; Amb Lavina, African Union; Oluyemi Oluleke Osinbajo, Nigeria","As artificial intelligence reshapes economies and geopolitics, science is no longer confined to laboratories—it is central to diplomacy. This session explores how AI is redefining global power, strategic partnerships, technology alliances, and international governance. Leaders will discuss India's role in shaping responsible AI frameworks, fostering cross-border collaboration, and strengthening science diplomacy in an era of rapid technological transformation.",African Union (AU ASRIC)
316,Democratizing AI resources and building inclusive AI solutions for India,18 Feb 2026,11:30 AM - 12:30 PM,Sushma Swaraj Bhavan,Chanakya Auditorium,"Mr Brad Staples, APCO; Mr Gokul V Subramaniam, Intel India; Mr Sandeep Saxena, MEA, France, Iberia, Italy HCLTech; Mr Sharath Bulusu, Google Pay India; Mr Tarun Chhabra, Nokia India; Ms. Sarika Gulyani, FICCI","The session will address the critical challenge of making AI accessible and affordable for India's diverse socio-economic landscape. While AI's transformative potential is widely recognised, cost barriers and complex ownership models often limit its deployment to well-funded organisations, creating a digital divide. The discussion will explore strategies to democratize AI through cost-effective solutions, sustainable deployment models, and comprehensive Total Cost of Ownership (TCO) frameworks",FICCI
317,Sovereign AI Infrastructure for Bharat and Global South,18 Feb 2026,11:30 AM - 12:30 PM,Sushma Swaraj Bhavan,Shakuntalam Banquet,"Ajay Sehgal, Fractal; Kautsarina Adam, Jio Platforms; Rachel Adams, Bharat Gen; Srikant Velmakani, Fractal; Tarun Dua, Networks for Humanity","India's strategic AI infrastructure must be built around three core pillars: security, sustainability, and open standards. Aligned with the objectives of Atmanirbhar Bharat and Digital Personal Data Protection (DPDP) compliance, this session examines the emerging architecture of sovereign compute ecosystems, including edge–cloud convergence for next-generation (6G) networks, neuromorphic computing, and low-precision inference systems designed for scalable deployment. It further explores multi-agent orchestration frameworks and cross-sector compute-exchange models that can expand access to high-performance computing for startups, academia, and public institutions. Such an approach aims to democratise advanced computational resources while strengthening India's long-term digital sovereignty, innovation capacity, and research acceleration.... Read More",Nasscom
318,Innovating Together: Harnessing Open-Source AI for Inclusive Economic Development,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 15,"Dr Bärbel Kofler, Federal Ministry for Economic Cooperation and Development, Germany; Dr Urvashi Aneja, Digital Futures Lab; Mr M Chockalingam, Nasscom AI; Ms Amanda Brock, OpenUK; Ms Lea Gimpel, Digital Public Goods Alliance; Ms Yasha Khandelwal, Tech4Biz","This session marks the official release of the policy brief titled, 'Advancing Open-Source AI in India: Recommendations for Governments and Technology Developers', published jointly by the IndiaAI Mission, FAIR Forward – Artificial Intelligence for All, Digital Futures Lab, and Nasscom. Developed through extensive expert consultations, this policy brief provides a blueprint for promoting open-source AI in India, outlining its key opportunities and potential challenges and risks.",Nasscom - Responsible AI Hub
319,From Volume to Value: Role of AI in Redefining Indian Pharma's Leadership for Viksit Bharat 2047,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,West Wing Room 4 B,"Dr Amit Sheth, Indian AI Research Organisation; Dr Sharvil Patel, Zydus Lifesciences; Mr Sudarshan Jain, Indian Pharmaceutical Alliance (IPA); Mr Winselow Tucker, Eli Lilly (India); Priyanka Aggarwal, BCG",AI can accelerate Indian pharmaceutical innovation – driving economic growth and social good. The discussion will focus on how organizations can deploy AI across R&D and operations and scale responsibly to improve access to affordable innovative medicines. It will also address the ecosystem and policy enablers required for India to move up the value chain and advance the Viksit Bharat 2047 vision.,Indian Pharmaceutical Alliance (IPA)
320,"India Energy Stack (IES) and the AI-Ready Power Sector: Trust, Interoperability, and Scale",18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,West Wing Room 4 A,"Ms. Swetha Ravi Kumar, FSR Global; Sh Jitendra Srivastava, REC; Sh Pankaj Agarwal, Ministry of Power; Sh. Nandan Nilekani, India Energy Stack; Sh. Prince Dhawan, REC; Sh. Shashank Misra, MoP","The power sector is entering a pivotal decade as renewables, electrification, and distributed resources make grid operations real time and complex. AI can enhance forecasting, optimization, and asset management, but fragmented data and systems limit scale. The India Energy Stack offers interoperable digital building blocks—shared identifiers, registries, standard protocols, verifiable credentials, and policy as code—to enable trust, reduce integration costs, expand consumer agency, and unlock participation, livelihoods, and innovation across millions of devices and actors.... Read More",REC Limited
321,Data for Development: Building AI in the Global South,18 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,West Wing Room No. 6,"Alok Kumar Rai, IIM Calcutta; Anne Neuberger, US Government; Ashish Chahuan, National Stock Exchange; Dr. Madan Mohan Tripathi, National Institute of Electronics & Information Technology; Manoj Kumar Tiwari, Indian Institute of Management, Mumbai; Prof. Shalabh, IIT, Kanpur","As AI scales globally, access to high-quality, interoperable, and responsibly governed data is becoming a key determinant of development outcomes. This session explores data as critical public infrastructure, focusing on governance frameworks, institutional capacity, and international cooperation needed to support AI-led growth in the Global South. The discussion also highlights the evolving approach to data governance and its relevance for emerging economies, with a focus on equity, inclusion, and development-first AI pathways.",Center of Policy Research and Governance
322,Catalysing Inclusive AI-Enabled Science Through Global CollaborationOfficial,18 Feb 2026,12:00 PM - 12:30 PM,Bharat Mandapam,L2 Summit Room,"Shri. Abhay Karandikar, Chair; Canada, Co-Chair; Singapore, Co-Chair",This session discusses the importance of inclusive and collaborative approaches to harnessing AI for Science and how global scientific ecosystems can be made more inclusive.,
323,Unlocking Insights for all with Data Commons (Hosted by Google),18 Feb 2026,12:15 PM - 1:00 PM,Bharat Mandapam - Expo Area,Hall No. 5 First Floor - Session Hall 2,"Sh. Gaurav Godhwani, Co-founder & Executive Director, CivicDataLab; Sh. Prem Ramaswami; Smt. Aparajita Choudhury, Lead Data & AI Solution at People+ai, EkStep Foundation; Dr. Srinath Srinivasa, Dean (R&D) at the International Institute of Information Technology – Bangalore (IIITB); Sh. Rohit Bhardwaj, Deputy Director General, Data Informatics & Innovation Division (DIID) at NSO India","This session explores how Data Commons transforms static, siloed information into a dynamic, AI-ready resource for citizens, businesses, and policymakers. Through a technical demo of its natural language interface and ""Bring Your Own Data"" architecture, attendees will see how the platform democratizes evidence-based intelligence while maintaining strict security. The event concludes with an expert panel focused on utilizing these scalable insights to drive informed, real-world decision-making.",Google
324,From Access to Agency: The Charter for the Democratic Diffusion of AIOfficial,18 Feb 2026,12:30 PM - 1:00 PM,Bharat Mandapam,L2 Summit Room,"Shri. Saurabh Garg, Chair; Egypt, Co-Chair; Kenya, Co-Chair","This session discusses practical pathways as well as role of international cooperation for enabling access and affordability of foundational AI resources, including compute, datasets, and models.",
325,Healthcare for All: Inclusive AI Solutions at Population Scale,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,L1 Meeting Room No. 6,"Raghav Mani, Nvidia; Sabine Kapasi, ENIRA Consulting; Shailendra Hegde, Gates Foundation; Siddharth Panwar, NeuroDX AI (Intellihealth); Sunil Kumar Barnwal, NHA","This session examines scaling secure AI within national health frameworks. Panelists discuss how technologies like NVIDIA's NIM and NeMo enable real-time disease prediction and multilingual diagnostics in resource-constrained rural clinics. The discussion highlights how regional compute hubs reduce technological dependency while empowering locally-developed healthcare solutions. This operationalizes the People Sutra and Inclusion for Social Empowerment Chakra through environmentally sustainable, equitably accessible healthcare innovation with insights from leaders.... Read More",NVIDIA
326,Open AI Platforms: Building India's Unified Public Goods,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,L1 Meeting Room No. 19,"Nabiha Syed, Mozilla Foundation; Pradeep Gupta, Nvidia; Sravanth Aluru, Avatar; Tanvi Lall, People+AI; Vineet Singh, Digital Green Trust","This session examines how open AI frameworks enable interoperability across digital public infrastructure in India and the Global South. The discussion explores how open standards and protocols allow nations to integrate AI capabilities without vendor lock-in. Panelists discuss federated analytics, cross-sector collaboration in healthcare and agriculture, and data sovereignty. This operationalizes the Democratizing AI Resources and Science Chakras, demonstrating impact through accelerated service delivery, reduced costs, and accessible tools empowering innovation.... Read More",NVIDIA
327,AI for Energy Systems/Utilities,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,L1 Meeting Room No. 9,"Srikanth Kodali, Nvidia","Amid rising energy demands from AI data centers, renewables, and electrification, utilities and energy firms grapple with grid stability, predictive maintenance, and subsurface uncertainties. This NVIDIA speaker session unveils accelerated AI platforms - like Jetson for edge AI, Omniverse digital twins, and Grace Hopper Superchips - that revolutionize power utilities and upstream exploration. Key highlights include generative AI for real-time grid management, EV integration, and battery optimization, alongside subsurface breakthroughs: NVIDIA-powered seismic processing for fault detection in 3D models, physics-informed neural networks (PhysicsNeMo) for reservoir simulations, NLP/LLMs integrating well logs/seismic data with partners like Shell and Saudi Aramco, and high-performance imaging via collaborations with SLB and Shearwater for CO2 storage and production forecasting. Attendees will explore the latest strides NVIDIA is making to improve energy efficiency (tokens per watt per dollar), accelerate simulations, reduce emissions, and optimize workflows from exploration to delivery - enabling a more resilient, low-carbon energy ecosystem. ... Read More",NVIDIA
328,AI Horizons: Building Safe and Trusted AI,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,West Wing Room No. 6,"David Wroe, Australian Strategic Policy Institute; Dr M M Oberoi, Google Cloud; Dr Sanjay Bahl, CERT-In; Kanishk Gaur, India Future Foundation; Natasha Crampton, Microsoft","The session will examine key issues around AI safety, governance, ethics, and international collaboration. It aims to bring together regulators and leading technology organisations to share policy insights, best practices, and perspectives on the development of trustworthy and secure AI deployment. The session aims to encourage informed dialogue, strengthen responsible innovation frameworks, and advance global cooperation to build safe, transparent, and trusted AI ecosystems.",India Future Foundation
329,Unleashing Impact: Building the Purpose-Driven Data and AI Workforce,18 Feb 2026,12:30 PM - 1:30 PM,Sushma Swaraj Bhavan,Shakuntalam Banquet,"Bayo (Olubayo) Adekanmbi, EqualyzAI; Dr. Tavpritesh Sethi, IIIT-Delhi; Neha Malhotra Singh, Janaagraha; Perry Hewitt, data.org; Pratibha Kurnool, Cognizant; Priyank Hirani, data.org; Tithee Mukhopadhyay, J-PAL; Uyi Stewart, Mastercard Center for Inclusive Growth","This panel session will reflect upon perspectives from members of a global ecosystem of over 100 partners and other leaders who are advancing interdisciplinary data and AI training across climate, health, and financial inclusion. This session will explore how this network is accelerating a workforce that will power an inclusive, resilient, and more prosperous future.",data.org
330,AI for Resilience: Powering Innovation and Efficiency in the Energy Transition,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,West Wing Room 4 B,"Mr. Abhishek Ranjan, BSES Rajdhani Power Limited (BRPL); Mr. Ashish Khanna, International Solar Alliance (ISA); Mr. Ashish Kumar Goyal, Uttar Pradesh Power Corporation Limited(UPPCL); Mr. Dwijadas Basak, Tata Power Delhi Distribution Ltd; Mr. Ghanshyam Prasad, Central Electricity Authority (CEA); Mr. Prashant Dangash, Impresa.ai; Mr. Reji Kumar Pillai, India Smart Grid Forum (ISGF); Mr. Siddharth Arora, Energiva Ventures Pvt. Ltd.; Ms. Disha Khosla, India Smart Grid Forum (ISGF); Ms. Jaqueline Cochran, National Renewable Energy Laboratory (NREL); Ms. Reena Suri, India Smart Grid Forum (ISGF)","As the energy transition accelerates, power systems are being reshaped by renewable integration, decentralised assets, and rising reliability expectations. This session explores how artificial intelligence can strengthen resilience, drive innovation, and improve efficiency across the energy value chain. Through real-world applications and policy perspectives, the discussion will examine AI-enabled forecasting, automation, and decision-making, alongside governance and workforce considerations, to support scalable, secure, and responsible deployment for a sustainable and future-ready energy ecosystem.... Read More",India Smart Grid Forum
331,AI Impact Forum: Democratising AI Resources,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,West Wing Room 4 A,"Anne Neuberger, Andreessen Horowitz (a16z); Anshu Sharma, Skyflow; Deepak Ajwani, Economic Times; Dr Vishal Sikka, Vianai Systems; Gokul Subramaniam, Intel India; Hari Shetty, Wipro; Kalyan Kumar, HCL Software; Mustafa Furniturewala, Coursera; Sunil Gupta, Yotta","Unlocking AI's full potential for all. Explore how to bridge gaps in skills, data access, tech infrastructure, and funding to drive innovation and inclusivity. Join industry leaders as they share insights on democratizing AI resources, shaping the future of technology and business.",Times Internet Limited
332,"From Evidence to Scale: Testing, Financing and Operationalizing Technology and AI for Development and Humanitarian Action.",18 Feb 2026,12:30 PM - 1:30 PM,Sushma Swaraj Bhavan,Nalanda Banquet,"Anoop Sharma, IFAD; Brenda Gunde, IFAD; Claire ZANUSO, AGENCE FRANÇAISE DE DÉVELOPPEMENT; Dr Venkatramanan Anantha Nageswaran, GoI; Indran Naidoo. Director, IFAD; Magan Naidoo, WFP; Vaishnavi Pavithran, WFP; Vincent Martin, FAO","AI is increasingly empowering agriculture, food security, rural development, and humanitarian response for those most in need. This session convenes international agencies and government partners to examine how field-tested AI solutions move from pilots to sustainable scale, benefiting both communities and internal processes. The discussion focuses on examples, evidence, governance safeguards, financing pathways, and digital public infrastructure, advancing the Summit's shift from dialogue to impact.",The International Fund for Agricultural Development (IFAD)
333,Democratisation of AI – Bharat Story,18 Feb 2026,12:30 PM - 1:30 PM,Bharat Mandapam,L1 Meeting Room No. 18,"Dr. Manjula N, IAS, EITBT, Government of Karnataka; Mr. Bhaskar Katamneni, IAS, ITE&C, Government of Andhra Pradesh; Mr. Sanjay Dubey, IAS, Department of Science and Technology (DST), Government of Madhya Pradesh; Mr. Sanjeev Kumar Gupta, Karnataka Digital Economy Mission (KDEM); Mr. Vishal Kumar Dev, IAS, E&IT, Government of Odisha","This session explores embedding AI into India's Digital Public Infrastructure (DPI) to make technology truly inclusive. Leveraging the foundation of the Bharat Stack, including Aadhaar, UPI, Bhashini, and ONDC, the panel discusses how state governments are scaling AI for citizen centric governance, widening access to shared infrastructure, improving benefits delivery, and enabling startups and MSMEs to adopt plug and play AI tools for population scale impact.",Karnataka Digital Economy Mission
334,From Silos to Scale – Enabling AI for AllOfficial,18 Feb 2026,1:00 PM - 1:30 PM,Bharat Mandapam,L2 Summit Room,"Smt. Debjani Ghosh, Chair; Netherlands, Co-Chair; Indonesia, Co-Chair","This session will discuss how international cooperation can enable replication, adoption, and scale up of AI for economic growth and social good solutions. It will provide an opportunity for delegates to discuss pathways for enabling the global community to move beyond isolated pilots and efforts to scale impact creation, translating innovation breakthroughs into measurable, population scale outcomes. This session will also mark the official launch of the Global AI Impact Commons, supported by Gates Foundation.",
